起点ID,起点类型,关系名称,终点ID,终点类型,示例
587c74a2adaae8fe,作者实体,活跃于,2b45004ffdb9e977,朝代实体,贾至 → 活跃于 → 唐代
394570d477509aa5,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,万俟咏 → 活跃于 → 宋代
7197474bc2066501,作者实体,活跃于,2b45004ffdb9e977,朝代实体,王驾 → 活跃于 → 唐代
e7174be8ee3d86fb,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,张先 → 活跃于 → 宋代
1c4ad8872366d6c5,作者实体,活跃于,7c9b0bd88bc951f0,朝代实体,屈复 → 活跃于 → 清代
743c32c123b6fcfc,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,江开 → 活跃于 → 宋代
66ab6b9b6883237e,作者实体,活跃于,28ae6ffa79d4d921,朝代实体,孙绰 → 活跃于 → 魏晋
09601d9760ad94a6,作者实体,活跃于,7c9b0bd88bc951f0,朝代实体,姚鼐 → 活跃于 → 清代
f8d940ff8ec347e2,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,张耒 → 活跃于 → 宋代
44551aa1407142ba,作者实体,活跃于,7c9b0bd88bc951f0,朝代实体,赵翼 → 活跃于 → 清代
583ad89e4afe846f,作者实体,活跃于,28ae6ffa79d4d921,朝代实体,郭璞 → 活跃于 → 魏晋
7df5799cb6266384,作者实体,活跃于,7c9b0bd88bc951f0,朝代实体,洪亮吉 → 活跃于 → 清代
9fc40f21c6d5e30a,作者实体,活跃于,2b45004ffdb9e977,朝代实体,司空图 → 活跃于 → 唐代
18ae10cef32b6c13,作者实体,活跃于,2b45004ffdb9e977,朝代实体,林杰 → 活跃于 → 唐代
e97234d586f750c3,作者实体,活跃于,2b45004ffdb9e977,朝代实体,苏味道 → 活跃于 → 唐代
ae24effbec066990,作者实体,活跃于,894d547a09e3f90f,朝代实体,王守仁 → 活跃于 → 明代
d42e88f009d93a73,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,赵长卿 → 活跃于 → 宋代
72575f4200f01f36,作者实体,活跃于,2b45004ffdb9e977,朝代实体,张祜 → 活跃于 → 唐代
ff0618f878ce565d,作者实体,活跃于,77d92920cd7e0455,朝代实体,叶颙 → 活跃于 → 元代
b93bfc15454b600c,作者实体,活跃于,894d547a09e3f90f,朝代实体,袁凯 → 活跃于 → 明代
630316614c3708c5,作者实体,活跃于,2b45004ffdb9e977,朝代实体,崔涂 → 活跃于 → 唐代
94bbcd51290cb165,作者实体,活跃于,2b45004ffdb9e977,朝代实体,李世民 → 活跃于 → 唐代
9d8756108750f3ce,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,戴复古 → 活跃于 → 宋代
