诗文ID,标题,原文
5f6cff2b82eb,咏史八首·其二,"郁郁涧底松，离离山上苗。
以彼径寸茎，荫此百尺条。
世胄蹑高位，英俊沉下僚。
地势使之然，由来非一朝。
金张藉旧业，七叶珥汉貂。
冯公岂不伟，白首不见招。"
c5d649eab603,过华清宫绝句三首·其一,"长安回望绣成堆，山顶千门次第开。
一骑红尘妃子笑，无人知是荔枝来。"
f84986dafb2d,陈情表,臣密言：臣以险衅，夙遭闵凶。生孩六月，慈父见背；行年四岁，舅夺母志。祖母刘愍臣孤弱，躬亲抚养。臣少多疾病，九岁不行，零丁孤苦，至于成立。既无伯叔，终鲜兄弟，门衰祚薄，晚有儿息。外无期功强近之亲，内无应门五尺之僮，茕茕孑立，形影相吊。而刘夙婴疾病，常在床蓐，臣侍汤药，未曾废离。　　逮奉圣朝，沐浴清化。前太守臣逵察臣孝廉；后刺史臣荣举臣秀才。臣以供养无主，辞不赴命。诏书特下，拜臣郎中，寻蒙国恩，除臣洗马。猥以微贱，当侍东宫，非臣陨首所能上报。臣具以表闻，辞不就职。诏书切峻，责臣逋慢；郡县逼迫，催臣上道；州司临门，急于星火。臣欲奉诏奔驰，则刘病日笃，欲苟顺私情，则告诉不许：臣之进退，实为狼狈。　　伏惟圣朝以孝治天下，凡在故老，犹蒙矜育，况臣孤苦，特为尤甚。且臣少仕伪朝，历职郎署，本图宦达，不矜名节。今臣亡国贱俘，至微至陋，过蒙拔擢，宠命优渥，岂敢盘桓，有所希冀。但以刘日薄西山，气息奄奄，人命危浅，朝不虑夕。臣无祖母，无以至今日，祖母无臣，无以终余年。母、孙二人，更相为命，是以区区不能废远。　　臣密今年四十有四，祖母今年九十有六，是臣尽节于陛下之日长，报养刘之日短也。乌鸟私情，愿乞终养。臣之辛苦，非独蜀之人士及二州牧伯所见明知，皇天后土实所共鉴。愿陛下矜愍愚诚，听臣微志，庶刘侥幸，保卒余年。臣生当陨首，死当结草。臣不胜犬马怖惧之情，谨拜表以闻。
7d4f2ada5537,渔父,屈原既放，游于江潭，行吟泽畔，颜色憔悴，形容枯槁。渔父见而问之曰：“子非三闾大夫与？何故至于斯？”屈原曰：“举世皆浊我独清，众人皆醉我独醒，是以见放。”　　渔父曰：“圣人不凝滞于物，而能与世推移。世人皆浊，何不淈其泥而扬其波？众人皆醉，何不餔其糟而歠其醨？何故深思高举，自令放为？”　　屈原曰：“吾闻之，新沐者必弹冠，新浴者必振衣；安能以身之察察，受物之汶汶者乎？宁赴湘流，葬于江鱼之腹中。安能以皓皓之白，而蒙世俗之尘埃乎？”　　渔父莞尔而笑，鼓枻而去，歌曰：“沧浪之水清兮，可以濯吾缨；沧浪之水浊兮，可以濯吾足。”遂去，不复与言。
9d8cc068c549,留侯论,古之所谓豪杰之士者，必有过人之节。人情有所不能忍者，匹夫见辱，拔剑而起，挺身而斗，此不足为勇也。天下有大勇者，卒然临之而不惊，无故加之而不怒。此其所挟持者甚大，而其志甚远也。　　夫子房受书于圯上之老人也，其事甚怪；然亦安知其非秦之世，有隐君子者出而试之。观其所以微见其意者，皆圣贤相与警戒之义；而世不察，以为鬼物，亦已过矣。且其意不在书。　　当韩之亡，秦之方盛也，以刀锯鼎镬待天下之士。其平居无罪夷灭者，不可胜数。虽有贲、育，无所复施。夫持法太急者，其锋不可犯，而其势未可乘。子房不忍忿忿之心，以匹夫之力而逞于一击之间；当此之时，子房之不死者，其间不能容发，盖亦已危矣。　　千金之子，不死于盗贼，何者？其身之可爱，而盗贼之不足以死也。子房以盖世之才，不为伊尹、太公之谋，而特出于荆轲、聂政之计，以侥幸于不死，此圯上老人所为深惜者也。是故倨傲鲜腆而深折之。彼其能有所忍也，然后可以就大事，故曰：“孺子可教也。”　　楚庄王伐郑，郑伯肉袒牵羊以逆；庄王曰：“其君能下人，必能信用其民矣。”遂舍之。勾践之困于会稽，而归臣妾于吴者，三年而不倦。且夫有报人之志，而不能下人者，是匹夫之刚也。夫老人者，以为子房才有余，而忧其度量之不足，故深折其少年刚锐之气，使之忍小忿而就大谋。何则？非有生平之素，卒然相遇于草野之间，而命以仆妾之役，油然而不怪者，此固秦皇之所不能惊，而项籍之所不能怒也。　　观夫高祖之所以胜，而项籍之所以败者，在能忍与不能忍之间而已矣。项籍唯不能忍，是以百战百胜而轻用其锋；高祖忍之，养其全锋而待其弊，此子房教之也。当淮阴破齐而欲自王，高祖发怒，见于词色。由此观之，犹有刚强不忍之气，非子房其谁全之？　　太史公疑子房以为魁梧奇伟，而其状貌乃如妇人女子，不称其志气。呜呼！此其所以为子房欤！
c7e28ca4629f,与山巨源绝交书,康白：足下昔称吾于颍川，吾常谓之知言。然经怪此意尚未熟悉于足下，何从便得之也？前年从河东还，显宗、阿都说足下议以吾自代，事虽不行，知足下故不知之。足下傍通，多可而少怪；吾直性狭中，多所不堪，偶与足下相知耳。闲闻足下迁，惕然不喜，恐足下羞庖人之独割，引尸祝以自助，手荐鸾刀，漫之膻腥，故具为足下陈其可否。　　吾昔读书，得并介之人，或谓无之，今乃信其真有耳。性有所不堪，真不可强。今空语同知有达人无所不堪，外不殊俗，而内不失正，与一世同其波流，而悔吝不生耳。老子、庄周，吾之师也，亲居贱职；柳下惠、东方朔，达人也，安乎卑位，吾岂敢短之哉！又仲尼兼爱，不羞执鞭；子文无欲卿相，而三登令尹，是乃君子思济物之意也。所谓达能兼善而不渝，穷则自得而无闷。以此观之，故尧、舜之君世，许由之岩栖，子房之佐汉，接舆之行歌，其揆一也。仰瞻数君，可谓能遂其志者也。故君子百行，殊途而同致，循性而动，各附所安。故有处朝廷而不出，入山林而不返之论。且延陵高子臧之风，长卿慕相如之节，志气所托，不可夺也。吾每读尚子平、台孝威传，慨然慕之，想其为人。少加孤露，母兄见骄，不涉经学。性复疏懒，筋驽肉缓，头面常一月十五日不洗，不大闷痒，不能沐也。每常小便而忍不起，令胞中略转乃起耳。又纵逸来久，情意傲散，简与礼相背，懒与慢相成，而为侪类见宽，不攻其过。又读《庄》、《老》，重增其放，故使荣进之心日颓，任实之情转笃。此犹禽鹿，少见驯育，则服从教制；长而见羁，则狂顾顿缨，赴蹈汤火；虽饰以金镳，飨以嘉肴，愈思长林而志在丰草也。　　阮嗣宗口不论人过，吾每师之而未能及；至性过人，与物无伤，唯饮酒过差耳。至为礼法之士所绳，疾之如仇，幸赖大将军保持之耳。吾不如嗣宗之资，而有慢弛之阙；又不识人情，暗于机宜；无万石之慎，而有好尽之累。久与事接，疵衅日兴，虽欲无患，其可得乎？又人伦有礼，朝廷有法，自惟至熟，有必不堪者七，甚不可者二：卧喜晚起，而当关呼之不置，一不堪也。抱琴行吟，弋钓草野，而吏卒守之，不得妄动，二不堪也。危坐一时，痹不得摇，性复多虱，把搔无已，而当裹以章服，揖拜上官，三不堪也。素不便书，又不喜作书，而人间多事，堆案盈机，不相酬答，则犯教伤义，欲自勉强，则不能久，四不堪也。不喜吊丧，而人道以此为重，已为未见恕者所怨，至欲见中伤者；虽瞿然自责，然性不可化，欲降心顺俗，则诡故不情，亦终不能获无咎无誉如此，五不堪也。不喜俗人，而当与之共事，或宾客盈坐，鸣声聒耳，嚣尘臭处，千变百伎，在人目前，六不堪也。心不耐烦，而官事鞅掌，机务缠其心，世故烦其虑，七不堪也。又每非汤、武而薄周、孔，在人间不止，此事会显，世教所不容，此甚不可一也。刚肠疾恶，轻肆直言，遇事便发，此甚不可二也。以促中小心之性，统此九患，不有外难，当有内病，宁可久处人间邪？又闻道士遗言，饵术黄精，令人久寿，意甚信之；游山泽，观鱼鸟，心甚乐之；一行作吏，此事便废，安能舍其所乐而从其所惧哉！　　夫人之相知，贵识其天性，因而济之。禹不逼伯成子高，全其节也；仲尼不假盖于子夏，护其短也；近诸葛孔明不逼元直以入蜀，华子鱼不强幼安以卿相，此可谓能相终始，真相知者也。足下见直木不可以为轮，曲木不可以为桷，盖不欲枉其天才，令得其所也。故四民有业，各以得志为乐，唯达者为能通之，此足下度内耳。不可自见好章甫，强越人以文冕也；己嗜臭腐，养鸳雏以死鼠也。吾顷学养生之术，方外荣华，去滋味，游心于寂寞，以无为为贵。纵无九患，尚不顾足下所好者。又有心闷疾，顷转增笃，私意自试，不能堪其所不乐。自卜已审，若道尽途穷则已耳。足下无事冤之，令转于沟壑也。　　吾新失母兄之欢，意常凄切。女年十三，男年八岁，未及成人，况复多病。顾此悢悢，如何可言！今但愿守陋巷，教养子孙，时与亲旧叙离阔，陈说平生，浊酒一杯，弹琴一曲，志愿毕矣。足下若嬲之不置，不过欲为官得人，以益时用耳。足下旧知吾潦倒粗疏，不切事情，自惟亦皆不如今日之贤能也。若以俗人皆喜荣华，独能离之，以此为快；此最近之，可得言耳。然使长才广度，无所不淹，而能不营，乃可贵耳。若吾多病困，欲离事自全，以保余年，此真所乏耳，岂可见黄门而称贞哉！若趣欲共登王途，期于相致，时为欢益，一旦迫之，必发狂疾。自非重怨，不至于此也。　　野人有快炙背而美芹子者，欲献之至尊，虽有区区之意，亦已疏矣。愿足下勿似之。其意如此，既以解足下，并以为别。嵇康白。
4f5e854b1169,与元九书,月日，居易白。微之足下：自足下谪江陵至于今，凡枉赠答诗仅百篇。每诗来，或辱序，或辱书，冠于卷首，皆所以陈古今歌诗之义，且自叙为文因缘，与年月之远近也。仆既受足下诗，又谕足下此意，常欲承答来旨粗论歌诗大端，并自述为文之意，总为一书，致足下前。累岁已来，牵故少暇，间有容隙，或欲为之；又自思所陈，亦无出足下之见；临纸复罢者数四，卒不能成就其志，以至于今。　　今俟罪浔阳，除盥栉食寝外无余事，因览足下去通州日所留新旧文二十六轴，开卷得意，忽如会面，心所蓄者，便欲快言，往往自疑，不知相去万里也。既而愤悱之气，思有所泄，遂追就前志，勉为此书，足下幸试为仆留意一省。　　夫文，尚矣，三才各有文。天之文三光首之；地之文五材首之；人之文六经首之。就六经言，诗又首之。何者？圣人感人心而天下和平。感人心者，莫先乎情，莫始乎言，莫切乎声，莫深乎义。诗者，根情，苗言，华声，实义。上自圣贤，下至愚騃，微及豚鱼，幽及鬼神。群分而气同，形异而情一。未有声入而不应、情交而不感者。　　圣人知其然，因其言，经之以六义；缘其声，纬之以五音。音有韵，义有类。韵协则言顺，言顺则声易入；类举则情见，情见则感易交。于是乎孕大含深，贯微洞密，上下通而一气泰，忧乐合而百志熙。五帝三皇所以直道而行、垂拱而理者，揭此以为大柄，決此以为大宝也。故闻“元首明，股肱良”之歌，则知虞道昌矣。闻五子洛汭之歌，则知夏政荒矣。言者无罪，闻者足诫，言者闻者莫不两尽其心焉。　　洎周衰秦兴，采诗官废，上不以诗补察时政，下不以歌泄导人情。用至于谄成之风动，救失之道缺。于时六义始刓矣。国风变为骚辞，五言始于苏、李。诗骚皆不遇者，各系其志，发而为文。故河梁之句，止于伤别；泽畔之吟，归于怨思。彷徨抑郁，不暇及他耳。然去《诗》未远，梗概尚存。故兴离别则引双凫一雁为喻，讽君子小人则引香草恶鸟为比。虽义类不具，犹得风人之什二三焉。于时六义始缺矣。晋、宋已还，得者盖寡。以康乐之奥博，多溺于山水；以渊明之高古，偏放于田园。江、鲍之流，又狭于此。如梁鸿《五噫》之例者，百无一二。于时六义浸微矣！陵夷至于梁、陈间，率不过嘲风雪、弄花草而已。噫！风雪花草之物，三百篇中岂舍之乎？顾所用何如耳。设如“北风其凉”，假风以刺威虐也；“雨雪霏霏”，因雪以愍征役；“棠棣之华”，感华以讽兄弟；“采采芣苡”，美草以乐有子也。皆兴发于此而义归于彼。反是者，可乎哉！然则“余霞散成绮，澄江净如练”，“归花先委露，别叶乍辞风”之什，丽则丽矣，吾不知其所讽焉。故仆所谓嘲风雪、弄花草而已。于时六义尽去矣。　　唐兴二百年，其间诗人不可胜数。所可举者，陈子昂有《感遇》诗二十首，鲍防《感兴》诗十五篇。又诗之豪者，世称李、杜。李之作，才矣！奇矣！人不迨矣！索其风雅比兴，十无一焉。杜诗最多，可传者千余首。至于贯穿古今，覙缕格律，尽工尽善，又过于李焉。然撮其《新安》、《石壕》、《潼关吏》、《芦子关》、《花门》之章，“朱门酒肉臭，路有冻死骨”之句，亦不过三四十首。杜尚如此，况不迨杜者乎？仆常痛诗道崩坏，忽忽愤发，或废食辍寝，不量才力，欲扶起之。嗟乎！事有大谬者，又不可一二而言，然亦不能不粗陈于左右。　　仆始生六七月时，乳母抱弄于书屏下，有指“之”字、“无”字示仆者，仆口未能言，心已默识。后有问此二字者，虽百十其试，而指之不差。则知仆宿习之缘，已在文字中矣。及五六岁，便学为诗。九岁谙识声韵。十五六，始知有进士，苦节读书。二十已来，昼课赋，夜课书，间又课诗，不遑寝息矣。以至于口舌成疮，手肘成胝。既壮而肤革不丰盈，未老而齿发早衰白；瞀瞀然如飞蝇垂珠在眸子中者，动以万数，盖以苦学力文之所致，又自悲矣。　　家贫多故，二十七方从乡赋。既第之后，虽专于科试，亦不废诗。及授校书郎时，已盈三四百首。或出示交友如足下辈，见皆谓之工，其实未窥作者之域耳。自登朝来，年齿渐长，阅事渐多。每与人言，多询时务；每读书史，多求理道。始知文章合为时而著，歌诗合为事而作。是时皇帝初即位，宰府有正人，屡降玺书，访人急病。　　仆当此日，擢在翰林，身是谏官，月请谏纸。启奏之间，有可以救济人病，裨补时阙，而难于指言者，辄咏歌之，欲稍稍递进闻于上。上以广宸听，副忧勤；次以酬恩奖，塞言责；下以复吾平生之志。岂图志未就而悔已生，言未闻而谤已成矣！　　又请为左右终言之。凡闻仆《贺雨》诗，众口籍籍，以为非宜矣；闻仆《哭孔戡》诗，众面脉脉，尽不悦矣；闻《秦中吟》，则权豪贵近者，相目而变色矣；闻《登乐游园》寄足下诗，则执政柄者扼腕矣；闻《宿紫阁村》诗，则握军要者切齿矣！大率如此，不可遍举。不相与者，号为沽誉，号为诋讦，号为讪谤。苟相与者，则如牛僧孺之诫焉。乃至骨肉妻孥，皆以我为非也。其不我非者，举世不过三两人。有邓鲂者，见仆诗而喜，无何鲂死。有唐衢者，见仆诗而泣，未几而衢死。其余即足下。足下又十年来困踬若此。呜呼！岂六义四始之风，天将破坏，不可支持耶？抑又不知天意不欲使下人病苦闻于上耶？不然，何有志于诗者，不利若此之甚也！然仆又自思关东一男子耳，除读书属文外，其他懵然无知，乃至书画棋博，可以接群居之欢者，一无通晓，即其愚拙可知矣！初应进士时，中朝无缌麻之亲，达官无半面之旧；策蹇步于利足之途，张空拳于战文之场。十年之间，三登科第，名落众耳，迹升清贯，出交贤俊，入侍冕旒。始得名于文章，终得罪于文章，亦其宜也。　　日者闻亲友间说，礼、吏部举选人，多以仆私试赋判为准的。其余诗句，亦往往在人口中。仆恧然自愧，不之信也。及再来长安，又闻有军使高霞寓者，欲聘倡妓，妓大夸曰：“我诵得白学士《长恨歌》，岂同他哉？”由是增价。又足下书云：到通州日，见江馆柱间有题仆诗者。何人哉？又昨过汉南日，适遇主人集众娱乐，他宾诸妓见仆来，指而相顾曰：此是《秦中吟》、《长恨歌》主耳。自长安抵江西三四千里，凡乡校、佛寺、逆旅、行舟之中，往往有题仆诗者；士庶、僧徒、孀妇、处女之口，每有咏仆诗者。此诚雕篆之戏，不足为多，然今时俗所重，正在此耳。虽前贤如渊、云者，前辈如李、杜者，亦未能忘情于其间。　　古人云：“名者公器，不可多取。”仆是何者，窃时之名已多。既窃时名，又欲窃时之富贵，使己为造物者，肯兼与之乎？今之屯穷，理固然也。况诗人多蹇，如陈子昂、杜甫，各授一拾遗，而屯剥至死。孟浩然辈不及一命，穷悴终身。近日孟郊六十，终试协律；张籍五十，未离一太祝。彼何人哉！况仆之才又不迨彼。今虽谪佐远郡，而官品至第五，月俸四五万，寒有衣，饥有食，给身之外，施及家人。亦可谓不负白氏之子矣。微之，微之！勿念我哉！　　仆数月来，检讨囊帙中，得新旧诗，各以类分，分为卷目。自拾遗来，凡所遇所感，关于美刺兴比者；又自武德至元和因事立题，题为“新乐府”者，共一百五十首，谓之“讽谕诗”。又或退公独处，或移病闲居，知足保和，吟玩性情者一百首，谓之“闲适诗”。又有事物牵于外，情理动于内，随感遇而形于叹咏者一百首，谓之“感伤诗”。又有五言、七言、长句、绝句，自一百韵至两百韵者四百余首，谓之“杂律诗”。凡为十五卷，约八百首。异时相见，当尽致于执事。　　微之，古人云：“穷则独善其身，达则兼济天下。”仆虽不肖，常师此语。大丈夫所守者道，所待者时。时之来也，为云龙，为风鹏，勃然突然，陈力以出；时之不来也，为雾豹，为冥鸿，寂兮寥兮，奉身而退。进退出处，何往而不自得哉！故仆志在兼济，行在独善，奉而始终之则为道，言而发明之则为诗。谓之讽谕诗，兼济之志也；谓之闲适诗，独善之义也。故览仆诗者，知仆之道焉。其余杂律诗，或诱于一时一物，发于一笑一吟，率然成章，非平生所尚者，但以亲朋合散之际，取其释恨佐欢，今铨次之间，未能删去。他时有为我编集斯文者，略之可也。　　微之，夫贵耳贱目，荣古陋今，人之大情也。仆不能远征古旧，如近岁韦苏州歌行，才丽之外，颇近兴讽；其五言诗，又高雅闲淡，自成一家之体，今之秉笔者谁能及之？然当苏州在时，人亦未甚爱重，必待身后，人始贵之。今仆之诗，人所爱者，悉不过杂律诗与《长恨歌》已下耳。时之所重，仆之所轻。至于讽谕者，意激而言质；闲适者，思澹而辞迂。以质合迂，宜人之不爱也。今所爱者，并世而生，独足下耳。然百千年后，安知复无如足下者出，而知爱我诗哉？故自八九年来，与足下小通则以诗相戒，小穷则以诗相勉，索居则以诗相慰，同处则以诗相娱。知吾罪吾，率以诗也。　　如今年春游城南时，与足下马上相戏，因各诵新艳小律，不杂他篇，自皇子陂归昭国里，迭吟递唱，不绝声者二十里余。攀、李在傍，无所措口。知我者以为诗仙，不知我者以为诗魔。何则？劳心灵，役声气，连朝接夕，不自知其苦，非魔而何？偶同人当美景，或花时宴罢，或月夜酒酣，一咏一吟，不觉老之将至。虽骖鸾鹤游蓬瀛者之适，无以加于此焉，又非仙而何？微之，微之！此吾所以与足下外形骸、脱踪迹、傲轩鼎、轻人寰者，又以此也。　　当此之时，足下兴有余力，且欲与仆悉索还往中诗，取其尤长者，如张十八古乐府，李二十新歌行，卢杨二秘书律诗，窦七、元八绝句，博搜精掇，编而次之，号为《元白往还集》。众君子得拟议于此者，莫不踊跃欣喜，以为盛事。嗟乎！言未终而足下左转，不数月而仆又继行，心期索然，何日成就？又可为之太息矣！　　仆常语足下，凡人为文，私于自是，不忍于割截，或失于繁多。其间妍媸益又自惑。必待交友有公鉴无姑息者，讨论而削夺之，然后繁简当否，得其中矣。况仆与足下，为文尤患其多。己尚病之，况他人乎？今且各纂诗笔，粗为卷第，待与足下相见日，各出所有，终前志焉。又不知相遇是何年，相见是何地，溘然而至，则如之何？微之知我心哉！　　浔阳腊月，江风苦寒，岁暮鲜欢，夜长少睡。引笔铺纸，悄然灯前，有念则书，言无铨次。勿以繁杂为倦，且以代一夕之话言也。　　微之微之！知我心哉！乐天再拜。
84b55ca77e82,北山移文,钟山之英，草堂之灵，驰烟驿路，勒移山庭：　　夫以耿介拔俗之标，萧洒出尘之想，度白雪以方洁，干青云而直上，吾方知之矣。　　若其亭亭物表，皎皎霞外，芥千金而不眄，屣万乘其如脱，闻凤吹于洛浦，值薪歌于延濑，固亦有焉。　　岂期终始参差，苍黄翻覆，泪翟子之悲，恸朱公之哭。乍回迹以心染，或先贞而后黩，何其谬哉！呜呼，尚生不存，仲氏既往，山阿寂寥，千载谁赏！　　世有周子，隽俗之士，既文既博，亦玄亦史。然而学遁东鲁，习隐南郭，偶吹草堂，滥巾北岳。诱我松桂，欺我云壑。虽假容于江皋，乃缨情于好爵。　　其始至也，将欲排巢父，拉许由，傲百氏，蔑王侯。风情张日，霜气横秋。或叹幽人长往，或怨王孙不游。谈空空于释部，覈玄玄于道流，务光何足比，涓子不能俦。　　及其鸣驺入谷，鹤书赴陇，形驰魄散，志变神动。尔乃眉轩席次，袂耸筵上，焚芰制而裂荷衣，抗尘容而走俗状。风云凄其带愤，石泉咽而下怆，望林峦而有失，顾草木而如丧。　　至其钮金章，绾墨绶，跨属城之雄，冠百里之首。张英风于海甸，驰妙誉于浙右。道帙长摈，法筵久埋。敲扑喧嚣犯其虑，牒诉倥偬装其怀。琴歌既断，酒赋无续，常绸缪于结课，每纷纶于折狱，笼张赵于往图，架卓鲁于前箓，希踪三辅豪，驰声九州牧。　　使我高霞孤映，明月独举，青松落阴，白云谁侣？磵户摧绝无与归，石径荒凉徒延伫。至于还飙入幕，写雾出楹，蕙帐空兮夜鹤怨，山人去兮晓猨惊。昔闻投簪逸海岸，今见解兰缚尘缨。于是南岳献嘲，北陇腾笑，列壑争讥，攒峰竦诮。慨游子之我欺，悲无人以赴吊。　　故其林惭无尽，涧愧不歇，秋桂遣风，春萝罢月。骋西山之逸议，驰东皋之素谒。　　今又促装下邑，浪栧上京，虽情殷于魏阙，或假步于山扃。岂可使芳杜厚颜，薜荔蒙耻，碧岭再辱，丹崖重滓，尘游躅于蕙路，污渌池以洗耳。宜扃岫幌，掩云关，敛轻雾，藏鸣湍。截来辕于谷口，杜妄辔于郊端。于是丛条瞋胆，叠颖怒魄。或飞柯以折轮，乍低枝而扫迹。请回俗士驾，为君谢逋客。
e6ea5cd95b75,童趣,余忆童稚时，能张目对日，明察秋毫，见藐小之物必细察其纹理，故时有物外之趣。　　夏蚊成雷，私拟作群鹤舞于空中，心之所向，则或千或百，果然鹤也；昂首观之，项为之强。又留蚊于素帐中，徐喷以烟，使之冲烟而飞鸣，作青云白鹤观，果如鹤唳云端，为之怡然称快。　　余常于土墙凹凸处，花台小草丛杂处，蹲其身，使与台齐；定神细视，以丛草为林，以虫蚁为兽，以土砾凸者为丘，凹者为壑，神游其中，怡然自得。　　一日，见二虫斗草间，观之，兴正浓，忽有庞然大物，拔山倒树而来，盖一癞虾蟆，舌一吐而二虫尽为所吞。余年幼，方出神，不觉呀然一惊。神定，捉虾蟆，鞭数十，驱之别院。
3854be8a3c3a,传是楼记,昆山徐健庵先生，筑楼于所居之后，凡七楹。间命工斫木为橱，贮书若干万卷，区为经史子集四种。经则传注义疏之书附焉，史则日录、家乘、山经、野史之书附焉，子则附以卜筮、医药之书，集则附以乐府、诗余之书。凡为橱者七十有二，部居类汇，各以其次，素标缃帙，启钥灿然。于是先生召诸子登斯楼而诏之曰：“吾何以传女曹哉？吾徐先世，故以清白起家，吾耳目濡染旧矣。盖尝慨夫为人之父祖者，每欲传其土田货财，而子孙未必能世富也；欲传其金玉珍玩、鼎彝尊斝之物，而又未必能世宝也；欲传其园池台榭、舞歌舆马之具，而又未必能世享其娱乐也。吾方以此为鉴，然则吾何以传女曹哉？”因指书而欣然笑曰：“所传者惟是矣！”遂名其楼为“传是”，而问记于琬。琬衰病不及为，则先生屡书督之，最后复于先生曰：　　“甚矣，书之多厄也！由汉氏以来，人主往往重官赏以购之，其下名公贵卿，又往往厚金帛以易之；或亲操翰墨，及分命笔吏以缮录之。然且裒聚未几，而辄至于散佚，以是知藏书之难也。琬顾谓藏之之难不若守之之难，守之之难不若读之之难，尤不若躬体而心得之之难。是故藏而勿守，犹勿藏也；守而弗读，犹勿守也。夫既已读之矣，而或口与躬违，心与迹忤，采其华而忘其实，是则呻占记诵之学所为哗众而窃名者也，与弗读奚以异哉？”　　“古之善读书者，始乎博，终乎约。博之而非夸多斗靡也，约之而非保残安陋也。善读书者，根柢于性命而究极于事功，沿流以溯源，无不探也；明体以适用，无不达也。尊所闻，行所知，非善读书者而能如是乎？”　　“今健庵先生既出其所得于书者，上为天子之所器重，次为中朝士大夫之所矜式，藉是以润色大业，对扬休命，有余矣。而又推之以训敕其子姓，俾后先跻巍科、取膴仕，翕然有名于当世，琬然后喟焉太息，以为读书之益弘矣哉！循是道也，虽传诸子孙世世，何不可之有？”　　“若琬则无以与于此矣。居平质驽才下，患于有书而不能读。延及暮年，则又跧伏穷山僻壤之中，耳目固陋，旧学消亡，盖本不足以记斯楼。不得已勉承先生之命，姑为一言复之，先生亦恕其老悖否耶？”
